data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
10X389_2_matrix.h5,0.1638,"(4928, 20669)",6210.0,"(807, 20669)",456.0,577,8304,57383155
10X159_2_matrix.h5,0.0864,"(5429, 20254)",5889.0,"(469, 20254)",558.0,511,8847,57383624
10X243_1_matrix.h5,0.8488,"(6066, 19680)",7437.0,"(5149, 19680)",578.0,726,8740,57388773
10X193_3_matrix.h5,0.2597,"(4951, 20671)",8631.0,"(1286, 20671)",559.0,562,9587,57390059
10X206_7_matrix.h5,0.1397,"(8419, 21101)",5413.0,"(1176, 21101)",635.0,513,9054,57391235
10X240_1_matrix.h5,0.1183,"(4439, 20475)",4365.0,"(525, 20475)",667.0,558,9260,57391760
10X393_2_matrix.h5,0.1929,"(4790, 20577)",4988.0,"(924, 20577)",627.0,464,8935,57392684
10X354_8_matrix.h5,0.099,"(4513, 20194)",3020.0,"(447, 20194)",870.0,649,7023,57393131
10X276_8_matrix.h5,0.1154,"(5798, 20630)",3589.0,"(669, 20630)",631.0,642,8162,57393800
10X190_7_matrix.h5,0.2175,"(6079, 20372)",3153.0,"(1322, 20372)",616.0,415,9166,57395122
10X240_2_matrix.h5,0.1286,"(4574, 20412)",3407.0,"(588, 20412)",538.0,507,8932,57395710
10X230_5_matrix.h5,0.6585,"(4720, 19053)",655.0,"(3108, 19053)",371.0,789,4566,57398818
10X204_2_matrix.h5,0.1802,"(5188, 20644)",3740.0,"(935, 20644)",464.0,661,9235,57399753
10X172_2_matrix.h5,0.0586,"(6173, 20807)",5646.0,"(362, 20807)",635.0,677,9179,57400115
10X359_5_matrix.h5,0.4089,"(2531, 19654)",3295.0,"(1035, 19654)",732.0,573,6654,57401150
10X349_7_matrix.h5,0.1182,"(4858, 20453)",2622.0,"(574, 20453)",429.0,682,8197,57401724
10X349_1_matrix.h5,0.1076,"(5187, 20692)",2737.0,"(558, 20692)",340.0,434,8111,57402282
10X215_3_matrix.h5,0.0716,"(5337, 20536)",5543.0,"(382, 20536)",750.0,660,9043,57402664
10X318_3_matrix.h5,0.0838,"(3841, 19910)",2831.0,"(322, 19910)",398.0,780,6937,57402986
10X190_3_matrix.h5,0.1224,"(5950, 20786)",5115.0,"(728, 20786)",388.0,829,10335,57403714
10X330_6_matrix.h5,0.1313,"(6550, 20693)",3505.0,"(860, 20693)",710.0,416,7858,57404574
10X355_3_matrix.h5,0.1082,"(6046, 20598)",3694.0,"(654, 20598)",599.0,476,9773,57405228
10X382_7_matrix.h5,0.982,"(1334, 17386)",2601.0,"(1310, 17386)",528.0,426,6737,57406538
10X176_7_matrix.h5,0.0748,"(4156, 20735)",6524.0,"(311, 20735)",674.0,571,9850,57406849
10X160_1_matrix.h5,0.0506,"(5634, 20477)",3957.0,"(285, 20477)",329.0,508,9057,57407134
10X217_5_matrix.h5,0.2652,"(6381, 20673)",5377.0,"(1692, 20673)",576.0,611,9124,57408826
10X194_4_matrix.h5,0.3571,"(5726, 20792)",5122.0,"(2045, 20792)",679.0,548,9455,57410871
10X229_2_matrix.h5,0.1591,"(5719, 20519)",6649.0,"(910, 20519)",485.0,546,9551,57411781
10X318_5_matrix.h5,0.1054,"(5246, 20349)",3239.0,"(553, 20349)",632.0,684,7967,57412334
10X240_4_matrix.h5,0.1207,"(5079, 20478)",3585.0,"(613, 20478)",484.0,531,9119,57412947
10X160_3_matrix.h5,0.0461,"(6677, 20644)",2994.0,"(308, 20644)",322.0,608,8922,57413255
10X146_6_matrix.h5,0.0275,"(5751, 20970)",4558.0,"(158, 20970)",461.0,743,10606,57413413
10X241_3_matrix.h5,0.1819,"(5778, 20484)",3486.0,"(1051, 20484)",514.0,497,8385,57414464
10X241_7_matrix.h5,0.1699,"(5549, 20656)",4253.0,"(943, 20656)",548.0,430,9732,57415407
10X390_2_matrix.h5,0.5633,"(3872, 19522)",3630.0,"(2181, 19522)",1056.0,490,6422,57417588
10X276_5_matrix.h5,0.125,"(5159, 20534)",4032.0,"(645, 20534)",607.0,698,8791,57418233
10X330_2_matrix.h5,0.1095,"(2922, 19762)",3550.0,"(320, 19762)",486.0,718,8640,57418553
10X318_8_matrix.h5,0.0943,"(5441, 20075)",2558.0,"(513, 20075)",616.0,667,7630,57419066
10X192_1_matrix.h5,0.2692,"(4365, 20472)",6469.0,"(1175, 20472)",1056.0,447,10450,57420241
10X203_2_matrix.h5,0.432,"(6989, 20202)",5846.0,"(3019, 20202)",451.0,713,10269,57423260
10X358_3_matrix.h5,0.1359,"(6711, 20651)",5253.0,"(912, 20651)",901.0,541,7334,57424172
10X182_2_matrix.h5,0.072,"(4526, 20793)",5027.0,"(326, 20793)",354.0,618,10534,57424498
10X376_8_matrix.h5,0.1296,"(4869, 20293)",3109.0,"(631, 20293)",466.0,714,8043,57425129
10X390_6_matrix.h5,0.7627,"(3970, 19789)",2402.0,"(3028, 19789)",725.0,419,7321,57428157
