data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
HN237M_matrix.h5,0.9993,"(2744, 13595)",2872.0,"(2742, 13595)",2872.0,200,2479,40505260
HN263M_matrix.h5,0.8478,"(6569, 17666)",12080.0,"(5569, 17666)",12080.0,293,5634,40510829
Pd_matrix.h5,0.984,"(31185, 17799)",2854.0,"(30686, 17799)",2854.0,491,2932,40541515
D27_matrix.h5,0.9895,"(37626, 17630)",1760.0,"(37232, 17630)",1760.0,487,2939,40578747
D17_matrix.h5,0.9937,"(31151, 17166)",1957.0,"(30956, 17166)",1957.0,491,2875,40609703
Uninfected1_CSF_matrix.h5,0.9656,"(523, 12421)",1067.0,"(505, 12421)",1067.0,200,3562,40610208
Uninfected2_CSF_matrix.h5,0.9863,"(804, 12329)",771.0,"(793, 12329)",701.0,200,3795,40611001
HIV3_CSF_matrix.h5,0.9924,"(2770, 14710)",1436.0,"(2749, 14710)",1436.0,200,3827,40613750
sub1_sole_matrix.h5,0.8948,"(1711, 13471)",1375.0,"(1531, 13471)",936.0,298,3574,40615281
sub3_palm_dermis_matrix.h5,0.9966,"(1773, 13594)",1441.0,"(1767, 13594)",1441.0,287,2673,40617048
sub2_sole_matrix.h5,0.9842,"(3414, 13635)",1225.0,"(3360, 13635)",1225.0,301,2856,40620408
sub3_hip_epidermis_matrix.h5,0.7906,"(2316, 13208)",1316.0,"(1831, 13208)",1316.0,302,3732,40622239
sub1_hip_matrix.h5,0.7938,"(834, 12588)",628.0,"(662, 12588)",434.0,294,3590,40622901
sub4_hip_dermis_matrix.h5,0.7572,"(383, 12524)",944.0,"(290, 12524)",678.0,304,3967,40623191
sub2_hip_matrix.h5,0.5966,"(409, 11807)",791.0,"(244, 11807)",661.0,336,3830,40623435
sub3_palm_epidermis_matrix.h5,0.2919,"(1103, 12868)",2855.0,"(322, 12868)",2096.0,302,4374,40623757
sub4_palm_epidermis_matrix.h5,0.1897,"(390, 12029)",3954.0,"(74, 12029)",2869.0,304,4414,40623831
sub4_hip_epidermis_matrix.h5,0.1571,"(840, 12733)",1747.0,"(132, 12733)",728.0,298,4419,40623963
sub4_palm_dermis_matrix.h5,0.9489,"(822, 13055)",2462.0,"(780, 13055)",2462.0,286,2995,40624743
C41_SN_NST_matrix.h5,0.7615,"(11368, 19724)",1687.0,"(8657, 19724)",216.0,383,10758,40633400
C58_SN_TST_matrix.h5,0.9992,"(2517, 15334)",723.0,"(2515, 15334)",651.0,202,2944,40635915
C70_SN_TST_matrix.h5,0.5115,"(17020, 19588)",2833.0,"(8705, 19588)",1532.0,225,12259,40644620
C72_SN_TST_matrix.h5,0.2027,"(9832, 19504)",3564.0,"(1993, 19504)",1192.0,384,10423,40646613
C41_SN_TST_matrix.h5,0.7052,"(8831, 19590)",966.0,"(6228, 19590)",634.0,309,7613,40652841
C41_SN_CST_matrix.h5,0.6393,"(6670, 19758)",1381.0,"(4264, 19758)",344.0,280,10198,40657105
CTRL1_matrix.h5,0.4978,"(2676, 16093)",4543.0,"(1332, 16093)",2486.0,297,7573,40658437
FXS2_matrix.h5,0.5474,"(1739, 15566)",7918.0,"(952, 15566)",3180.0,274,8964,40659389
FXS3_matrix.h5,0.5524,"(14765, 17765)",5937.0,"(8156, 17765)",2242.0,202,9578,40667545
FXS1_matrix.h5,0.3644,"(2547, 16090)",4619.0,"(928, 16090)",2091.0,281,7900,40668473
CTRL2_matrix.h5,0.5833,"(3588, 16189)",4401.0,"(2093, 16189)",2074.0,312,9244,40670566
CTRL3_matrix.h5,0.5956,"(11239, 17978)",8925.0,"(6694, 17978)",2694.0,200,8557,40677260
NY016_007_tumor_matrix.h5,0.9336,"(17692, 14157)",8411.0,"(16517, 14157)",8411.0,273,4942,40693777
MD043_008_tumor_matrix.h5,0.971,"(2000, 11571)",459.0,"(1942, 11571)",264.0,374,3677,40695719
NY016_025_tumor_matrix.h5,0.9954,"(51585, 15142)",1962.0,"(51347, 15142)",1962.0,271,4793,40747066
MD043_003_normal_matrix.h5,0.9853,"(8760, 13989)",2440.0,"(8631, 13989)",484.0,330,4591,40755697
NY016_015_normal_matrix.h5,0.9897,"(4571, 12711)",392.0,"(4524, 12711)",392.0,320,4376,40760221
MD043_008_normal_matrix.h5,0.9936,"(2355, 11841)",438.0,"(2340, 11841)",285.0,357,3296,40762561
MD01_019_normal_matrix.h5,0.9914,"(11940, 13799)",2360.0,"(11837, 13799)",711.0,304,4395,40774398
NY016_022_normal_matrix.h5,0.9987,"(3147, 11618)",229.0,"(3143, 11618)",229.0,276,2766,40777541
MD01_005_normal_matrix.h5,0.9852,"(29139, 16029)",9607.0,"(28708, 16029)",9607.0,250,4932,40806249
MD043_011_LN_matrix.h5,0.9797,"(12865, 14424)",2605.0,"(12604, 14424)",2605.0,246,3904,40818853
MD043_006_tumor_matrix.h5,0.9877,"(10583, 13254)",5409.0,"(10453, 13254)",5409.0,339,4850,40829306
MD01_024_tumor_matrix.h5,0.9799,"(3329, 12518)",682.0,"(3262, 12518)",399.0,282,4477,40832568
NY016_021_tumor_matrix.h5,0.9979,"(2363, 11484)",217.0,"(2358, 11484)",217.0,289,3438,40834926
MD01_004_tumor_matrix.h5,0.9818,"(3185, 12223)",546.0,"(3127, 12223)",369.0,344,4680,40838053
NY016_016_normal_matrix.h5,0.9957,"(9330, 13222)",2311.0,"(9290, 13222)",2001.0,254,3788,40847343
MD01_019_tumor_matrix.h5,0.9198,"(48518, 16308)",10790.0,"(44629, 16308)",1363.0,271,4935,40891972
MD043_011_normal_matrix.h5,0.9868,"(34604, 15251)",5410.0,"(34146, 15251)",5410.0,283,4614,40926118
NY016_014_tumor_matrix.h5,0.969,"(32975, 15350)",2106.0,"(31954, 15350)",2106.0,256,4902,40958072
MD01_005_tumor_matrix.h5,0.9836,"(70275, 15793)",16947.0,"(69124, 15793)",16947.0,262,4786,41027196
NY016_025_normal_matrix.h5,0.9947,"(9720, 13112)",432.0,"(9668, 13112)",432.0,270,3473,41036864
MD043_006_normal_matrix.h5,0.9879,"(7988, 13215)",6373.0,"(7891, 13215)",6373.0,313,4556,41044755
MD01_004_LN_matrix.h5,0.9932,"(23950, 14159)",2275.0,"(23786, 14159)",2275.0,287,4540,41068541
MD01_005_LN_matrix.h5,0.9935,"(34619, 15323)",13789.0,"(34394, 15323)",13789.0,258,4802,41102935
MD01_010_normal_matrix.h5,0.9904,"(3319, 12334)",1308.0,"(3287, 12334)",293.0,353,3641,41106222
NY016_007_normal_matrix.h5,0.9346,"(4020, 14013)",3524.0,"(3757, 14013)",3524.0,346,4764,41109979
MD043_011_mettumor_matrix.h5,0.9128,"(32068, 15946)",3157.0,"(29272, 15946)",3157.0,328,4876,41139251
NY016_015_tumor_matrix.h5,0.9616,"(25670, 14963)",6291.0,"(24685, 14963)",6291.0,256,4914,41163936
MD01_010_tumor_matrix.h5,0.839,"(5591, 13124)",799.0,"(4691, 13124)",444.0,332,4939,41168627
MD043_011_tumor_matrix.h5,0.9318,"(26352, 15260)",2903.0,"(24554, 15260)",2903.0,275,4822,41193181
MD043_003_tumor_matrix.h5,0.9928,"(30300, 15112)",7211.0,"(30083, 15112)",7211.0,261,4761,41223264
NY016_022_tumor_matrix.h5,0.9833,"(41897, 15052)",16207.0,"(41199, 15052)",16207.0,251,4889,41264463
C5_matrix.h5,0.6046,"(2524, 17728)",1871.0,"(1526, 17728)",629.0,554,7151,41265989
C1_matrix.h5,0.8627,"(2826, 17194)",1790.0,"(2438, 17194)",601.0,557,7525,41268427
MS12_matrix.h5,0.6084,"(3534, 18903)",2483.0,"(2150, 18903)",799.0,639,9685,41270577
C3_matrix.h5,0.7785,"(3002, 17363)",1329.0,"(2337, 17363)",522.0,585,7008,41272914
MS7_matrix.h5,0.7119,"(2718, 18648)",3164.0,"(1935, 18648)",649.0,568,10099,41274849
C7_matrix.h5,0.4492,"(1260, 17746)",2326.0,"(566, 17746)",396.0,686,9550,41275415
MS3_matrix.h5,0.8277,"(2385, 17559)",4861.0,"(1974, 17559)",1059.0,599,9016,41277389
MS6_matrix.h5,0.6992,"(3331, 18796)",5253.0,"(2329, 18796)",1325.0,587,8654,41279718
MS11_matrix.h5,0.932,"(588, 13648)",474.0,"(548, 13648)",260.0,655,4464,41280266
MS5_matrix.h5,0.6697,"(3212, 18003)",1776.0,"(2151, 18003)",251.0,621,9246,41282417
MS2_matrix.h5,0.8833,"(2374, 17160)",2535.0,"(2097, 17160)",657.0,591,7603,41284514
MS8_matrix.h5,0.7181,"(1174, 16991)",2461.0,"(843, 16991)",453.0,540,9205,41285357
C4_matrix.h5,0.576,"(2804, 18315)",2855.0,"(1615, 18315)",563.0,527,7861,41286972
C2_matrix.h5,0.8506,"(1245, 15449)",1150.0,"(1059, 15449)",1039.0,583,5787,41288031
MS1_matrix.h5,0.9335,"(3276, 17232)",2526.0,"(3058, 17232)",1193.0,482,8070,41291089
C9_matrix.h5,0.533,"(379, 15479)",1157.0,"(202, 15479)",301.0,684,8703,41291291
MS10_matrix.h5,0.5599,"(1629, 17780)",1375.0,"(912, 17780)",530.0,653,8698,41292203
MS4_matrix.h5,0.807,"(3301, 18515)",3901.0,"(2664, 18515)",1112.0,575,8351,41294867
C6_matrix.h5,0.4958,"(1894, 18447)",2490.0,"(939, 18447)",449.0,672,9550,41295806
C8_matrix.h5,0.5298,"(1378, 16922)",2127.0,"(730, 16922)",314.0,688,9566,41296536
MS9_matrix.h5,0.669,"(3499, 18800)",1760.0,"(2341, 18800)",497.0,578,9472,41298877
cholangiocytes_2D_matrix.h5,0.1353,"(5057, 16355)",1479.0,"(684, 16355)",1106.0,268,6236,41299561
cholangiocytes_3D_matrix.h5,0.3126,"(4593, 17021)",3775.0,"(1436, 17021)",1049.0,307,6793,41300997
COPD_4_Peripheral_LungRep_matrix.h5,0.5735,"(9557, 16718)",17372.0,"(5481, 16718)",17372.0,503,4881,41306478
COPD_1_Peripheral_LungRep_matrix.h5,0.8557,"(19957, 17671)",14277.0,"(17078, 17671)",14277.0,209,4889,41323556
Donor_1_Peripheral_LungRep_matrix.h5,0.8035,"(18770, 16194)",12299.0,"(15082, 16194)",9208.0,410,4825,41338638
Donor_5_Peripheral_LungRep_matrix.h5,0.5367,"(11957, 17518)",15727.0,"(6417, 17518)",15727.0,220,4910,41345055
HT280neg_matrix.h5,0.7569,"(4681, 15699)",9987.0,"(3543, 15699)",9641.0,289,4841,41348598
Donor_4_Peripheral_LungRep_matrix.h5,0.8193,"(7362, 15818)",8425.0,"(6032, 15818)",7502.0,226,4849,41354630
Donor_6_Proximal_LungRep_matrix.h5,0.6971,"(11100, 16513)",9932.0,"(7738, 16513)",9932.0,674,4881,41362368
Donor_3_Peripheral_LungRep_matrix.h5,0.9668,"(15143, 16249)",8843.0,"(14640, 16249)",7189.0,234,4135,41377008
Donor_3_Proximal_LungRep_matrix.h5,0.5414,"(8186, 16857)",7728.0,"(4432, 16857)",7728.0,558,4924,41381440
COPD_3_Peripheral_LungRep_matrix.h5,0.5521,"(14038, 18061)",13069.0,"(7750, 18061)",13069.0,204,4935,41389190
Donor_2_Peripheral_LungRep_matrix.h5,0.6759,"(10428, 16296)",9346.0,"(7048, 16296)",9346.0,309,4885,41396238
COPD_2_Peripheral_LungRep_matrix.h5,0.6382,"(15859, 18841)",19960.0,"(10122, 18841)",19960.0,204,4922,41406360
DMSO_matrix.h5,0.0,"(94, 14883)",5109.0,"(0, 14883)",0.0,5520,9327,41406360
PVD_matrix.h5,0.0,"(94, 14782)",19348.0,"(0, 14782)",0.0,5488,8756,41406360
MVIR1_POOL_SCG8_matrix.h5,0.8396,"(2962, 14124)",9379.0,"(2487, 14124)",9379.0,200,4850,41408847
MVIR1_HS46_D0BLD1_SCG1_matrix.h5,0.8375,"(1354, 13052)",3157.0,"(1134, 13052)",3157.0,202,4518,41409981
MVIR1_POOL_SCG9_matrix.h5,0.9416,"(4266, 14211)",9726.0,"(4017, 14211)",9726.0,200,4703,41413998
MVIR1_HS14_D0BLD1_SCG1_matrix.h5,0.9003,"(2007, 13691)",9786.0,"(1807, 13691)",5864.0,204,4750,41415805
MVIR1_POOL_SCG2_matrix.h5,0.7356,"(3744, 14896)",10186.0,"(2754, 14896)",10186.0,200,4865,41418559
XHLT1_HS23_BLD1_SCG1_matrix.h5,0.9964,"(3328, 13567)",3361.0,"(3316, 13567)",3361.0,215,4058,41421875
MVIR1_HS62_D0BLD1_SCG1_matrix.h5,0.8638,"(1065, 12657)",5120.0,"(920, 12657)",5120.0,217,3852,41422795
XHLT1_HS19_BLD1_SCG1_matrix.h5,0.9973,"(1494, 12152)",2753.0,"(1490, 12152)",896.0,209,3581,41424285
XHLT1_HS30_BLD1_SCG1_matrix.h5,0.9855,"(3096, 13685)",6858.0,"(3051, 13685)",1269.0,220,4077,41427336
MVIR1_HS29_D0BLD1_SCG1_matrix.h5,0.8993,"(3059, 13906)",8362.0,"(2751, 13906)",5264.0,200,4810,41430087
MVIR1_HS49_D0BLD1_SCG1_matrix.h5,0.9555,"(2294, 13706)",12995.0,"(2192, 13706)",5816.0,200,3853,41432279
XHLT1_HS7_BLD2_SCG1_matrix.h5,0.9799,"(2690, 13438)",3821.0,"(2636, 13438)",969.0,209,4209,41434915
XHLT1_HS5_BLD1_SCG1_matrix.h5,0.9603,"(2118, 13355)",5454.0,"(2034, 13355)",998.0,220,4738,41436949
XHLT1_HS31_BLD1_SCG1_matrix.h5,0.9664,"(1874, 13058)",1685.0,"(1811, 13058)",927.0,221,4152,41438760
MVIR1_HS16_D0BLD1_SCG1_matrix.h5,0.9474,"(723, 10901)",3421.0,"(685, 10901)",1593.0,201,4050,41439445
XHLT1_HS33_BLD1_SCG1_matrix.h5,0.9657,"(2946, 13572)",7122.0,"(2845, 13572)",4090.0,206,4411,41442290
XHLT1_HS29_BLD1_SCG1_matrix.h5,0.9826,"(2534, 13238)",7205.0,"(2490, 13238)",7205.0,221,3311,41444780
MVIR1_HS12_D0BLD1_SCG1_matrix.h5,0.821,"(2425, 14635)",6481.0,"(1991, 14635)",5333.0,200,4701,41446771
MVIR1_HS55_D0BLD1_SCG1_matrix.h5,0.9864,"(294, 7608)",2581.0,"(290, 7608)",2581.0,202,3238,41447061
MVIR1_HS54_D0BLD1_SCG1_matrix.h5,0.9418,"(189, 8871)",699.0,"(178, 8871)",699.0,210,3406,41447239
MVIR1_HS52_D0BLD1_SCG1_matrix.h5,0.8968,"(2296, 13688)",8351.0,"(2059, 13688)",1179.0,206,4781,41449298
MVIR1_HS45_D0BLD1_SCG1_matrix.h5,0.9079,"(391, 10010)",762.0,"(355, 10010)",762.0,202,3597,41449653
XHLT1_HS6_BLD2_SCG1_matrix.h5,0.9777,"(2830, 13633)",5107.0,"(2767, 13633)",5107.0,223,4147,41452420
XHLT1_HS32_BLD1_SCG1_matrix.h5,0.9721,"(3653, 13897)",4197.0,"(3551, 13897)",850.0,200,4177,41455971
XHLT1_HS4_BLD1_SCG1_matrix.h5,0.9498,"(518, 11379)",3263.0,"(492, 11379)",3263.0,207,4019,41456463
MVIR1_POOL_SCG3_matrix.h5,0.9197,"(7770, 15253)",8767.0,"(7146, 15253)",7164.0,200,4911,41463609
MVIR1_HS25_D0BLD1_SCG1_matrix.h5,0.875,"(2640, 14250)",11839.0,"(2310, 14250)",5901.0,206,4621,41465919
MVIR1_POOL_SCG1_matrix.h5,0.9444,"(8910, 15106)",8459.0,"(8415, 15106)",6227.0,200,4914,41474334
XHLT1_HS20_BLD1_SCG1_matrix.h5,0.9947,"(754, 11459)",845.0,"(750, 11459)",845.0,233,2855,41475084
MVIR1_HS31_D0BLD1_SCG1_matrix.h5,0.89,"(591, 11994)",10157.0,"(526, 11994)",10157.0,208,4425,41475610
MVIR1_HS38_D0BLD1_SCG1_matrix.h5,0.9441,"(3096, 13268)",8821.0,"(2923, 13268)",5659.0,200,4738,41478533
XHLT1_HS14_BLD1_SCG1_matrix.h5,0.997,"(1355, 12207)",643.0,"(1351, 12207)",643.0,251,3558,41479884
MVIR1_HS60_D0BLD1_SCG1_matrix.h5,0.879,"(1537, 12980)",9298.0,"(1351, 12980)",924.0,204,4529,41481235
XHLT1_HS3_BLD1_SCG1_matrix.h5,0.9505,"(2487, 13600)",5492.0,"(2364, 13600)",1721.0,213,4228,41483599
MVIR1_HS47_D0BLD1_SCG1_matrix.h5,0.9775,"(1736, 12122)",9437.0,"(1697, 12122)",9437.0,200,4868,41485296
MVIR1_HS44_D0BLD1_SCG1_matrix.h5,0.8207,"(1584, 13233)",1561.0,"(1300, 13233)",1561.0,211,4377,41486596
MVIR1_HS26_D0BLD1_SCG1_matrix.h5,0.9024,"(4572, 14655)",8275.0,"(4126, 14655)",4559.0,200,4877,41490722
PR5251_T_org_matrix.h5,0.907,"(2171, 12822)",489.0,"(1969, 12822)",263.0,201,4893,41492691
PR5274_T_org_matrix.h5,0.8926,"(2402, 13310)",636.0,"(2144, 13310)",353.0,207,4890,41494835
PR5261_T_org_matrix.h5,0.8824,"(1420, 12636)",383.0,"(1253, 12636)",383.0,200,4858,41496088
PR5254_N_org_matrix.h5,0.8664,"(554, 11675)",724.0,"(480, 11675)",703.0,203,4883,41496568
PR5316_N_org_matrix.h5,0.9062,"(1130, 11996)",591.0,"(1024, 11996)",257.0,211,4523,41497592
PR5261_N_org_matrix.h5,0.9902,"(2354, 11825)",324.0,"(2331, 11825)",324.0,206,4442,41499923
PR5249_N_org_matrix.h5,0.9481,"(2042, 12430)",657.0,"(1936, 12430)",434.0,202,4508,41501859
PR5316_T_org_matrix.h5,0.8997,"(648, 11339)",384.0,"(583, 11339)",330.0,221,4556,41502442
PR5254_T_org_matrix.h5,0.8741,"(691, 11592)",476.0,"(604, 11592)",240.0,206,4927,41503046
PR5269_T_org_matrix.h5,1.0,"(343, 7369)",407.0,"(343, 7369)",407.0,201,1278,41503389
PR5251_N_org_matrix.h5,0.8619,"(1579, 12723)",538.0,"(1361, 12723)",459.0,213,4932,41504750
P55_Tumor_matrix.h5,0.8995,"(2249, 15754)",7149.0,"(2023, 15754)",4545.0,203,6116,41506773
P60_Tumor_matrix.h5,0.8562,"(10876, 17585)",19583.0,"(9312, 17585)",15631.0,204,8621,41516085
P61_Blood_matrix.h5,0.8929,"(6564, 16760)",6034.0,"(5861, 16760)",6034.0,201,6226,41521946
P60_Juxta_matrix.h5,0.8178,"(2546, 17208)",16448.0,"(2082, 17208)",7332.0,207,8657,41524028
P58_Tumor_matrix.h5,0.8623,"(1844, 16994)",9370.0,"(1590, 16994)",3999.0,202,8017,41525618
P47_Tumor_matrix.h5,0.9362,"(4843, 16328)",13486.0,"(4534, 16328)",13256.0,201,6187,41530152
P57_Tumor_matrix.h5,0.8222,"(4201, 17594)",25120.0,"(3454, 17594)",1726.0,200,9424,41533606
P58_Blood_matrix.h5,0.9281,"(10984, 16585)",1616.0,"(10194, 16585)",723.0,202,5340,41543800
P60_Blood_matrix.h5,0.8601,"(10854, 16377)",4156.0,"(9336, 16377)",4156.0,219,6587,41553136
P61_Tumor_matrix.h5,0.9084,"(6451, 18091)",27452.0,"(5860, 18091)",18923.0,200,9714,41558996
P55_Blood_matrix.h5,0.9459,"(1813, 14224)",963.0,"(1715, 14224)",667.0,205,4624,41560711
P61_Juxta_matrix.h5,0.7955,"(2215, 17675)",8233.0,"(1762, 17675)",1294.0,213,8820,41562473
GBM.new_16_matrix.h5,0.951,"(5552, 11828)",8.876908,"(5280, 11828)",8.876908302307129,200,5472,41567753
GBM.new_9_matrix.h5,0.9385,"(4051, 11834)",8.708506,"(3802, 11834)",8.708505630493164,200,4787,41571555
GBM.new_15_matrix.h5,0.8232,"(3585, 12219)",8.450794,"(2951, 12219)",8.450794219970703,200,6630,41574506
GBM.new_17_matrix.h5,0.7755,"(1706, 10984)",8.753648,"(1323, 10984)",8.753647804260254,201,5572,41575829
GBM.new_7_matrix.h5,0.9472,"(3998, 11406)",8.531615,"(3787, 11406)",8.531615257263184,200,4781,41579616
GBM.new_18_matrix.h5,0.9597,"(8851, 11902)",8.864844,"(8494, 11902)",8.86484432220459,200,5027,41588110
GBM.new_12_matrix.h5,0.7717,"(11592, 13737)",8.85172,"(8946, 13737)",8.851719856262207,200,6946,41597056
GBM.new_2_matrix.h5,0.7942,"(3153, 12585)",8.404577,"(2504, 12585)",8.404577255249023,200,8552,41599560
GBM.new_13_matrix.h5,0.6794,"(10343, 13940)",8.565806,"(7027, 13940)",8.56580638885498,200,6071,41606587
GBM.new_20_matrix.h5,0.7922,"(2806, 11760)",8.889936,"(2223, 11760)",8.889936447143555,200,5860,41608810
GBM.new_4_matrix.h5,0.9668,"(1083, 8170)",8.393058,"(1047, 8170)",8.393057823181152,200,3696,41609857
GBM.new_6_matrix.h5,0.827,"(1711, 11514)",8.617004,"(1415, 11514)",8.61700439453125,200,7016,41611272
GBM.new_10_matrix.h5,0.7527,"(3267, 12257)",8.593935,"(2459, 12257)",8.593935012817383,200,7366,41613731
GBM.new_21_matrix.h5,0.756,"(2639, 11915)",8.702277,"(1995, 11915)",8.702277183532715,200,7338,41615726
GBM.new_25_matrix.h5,0.7632,"(1178, 11280)",8.737158,"(899, 11280)",8.23409652709961,200,8537,41616625
GBM.new_11_matrix.h5,0.7432,"(2278, 12469)",8.839294,"(1693, 12469)",8.83929443359375,200,8443,41618318
GBM.new_26_matrix.h5,0.8679,"(439, 7586)",7.9660435,"(381, 7586)",7.966043472290039,201,5566,41618699
GBM.new_19_matrix.h5,0.8837,"(4755, 12126)",8.4415045,"(4202, 12126)",8.44150447845459,200,5887,41622901
GBM.new_24_matrix.h5,0.747,"(4348, 14052)",8.918231,"(3248, 14052)",8.918231010437012,200,9051,41626149
GBM.new_23_matrix.h5,0.9397,"(1177, 9559)",9.0094385,"(1106, 9559)",9.009438514709473,200,5044,41627255
GBM.new_22_matrix.h5,0.9262,"(8506, 13151)",8.376084,"(7878, 13151)",8.376084327697754,200,9244,41635133
GBM.new_8_matrix.h5,0.8782,"(2997, 11242)",8.686965,"(2632, 11242)",8.686964988708496,200,6404,41637765
GBM.new_3_matrix.h5,0.9829,"(526, 4293)",7.9995856,"(517, 4293)",7.9995856285095215,200,3614,41638282
GBM.new_5_matrix.h5,1.0,"(203, 2890)",8.289285,"(203, 2890)",8.289284706115723,203,1802,41638485
GBM.new_27_matrix.h5,0.7543,"(696, 10389)",8.206137,"(525, 10389)",8.206136703491211,201,8144,41639010
GBM.new_1_matrix.h5,0.7166,"(8140, 14756)",9.107328,"(5833, 14756)",9.107328414916992,200,8995,41644843
GBM.new_14_matrix.h5,0.959,"(5239, 11587)",8.647,"(5024, 11587)",8.647000312805176,200,5636,41649867
AM2_matrix.h5,0.8793,"(1690, 16985)",5305.0,"(1486, 16985)",5305.0,264,5523,41651353
AM7_matrix.h5,0.9438,"(6901, 16441)",10426.0,"(6513, 16441)",10426.0,370,5705,41657866
AM5_matrix.h5,0.6529,"(1190, 17215)",8637.0,"(777, 17215)",558.0,325,6114,41658643
AM6_matrix.h5,0.348,"(7406, 18250)",9559.0,"(2577, 18250)",9559.0,256,6927,41661220
AM3_matrix.h5,0.6844,"(1711, 17288)",15421.0,"(1171, 17288)",15421.0,285,5090,41662391
AM8_Node_matrix.h5,0.9638,"(3484, 16755)",18339.0,"(3358, 16755)",18339.0,200,5945,41665749
AM4_matrix.h5,0.8781,"(4333, 18001)",25151.0,"(3805, 18001)",16482.0,202,8303,41669554
AM8_Toe_matrix.h5,0.5336,"(8328, 19026)",17275.0,"(4444, 19026)",17275.0,303,6928,41673998
Spinal_matrix.h5,0.5386,"(18213, 22364)",16470.0,"(9810, 22364)",2073.0,213,13457,41683808
DRG_matrix.h5,0.7093,"(30701, 22853)",29948.0,"(21777, 22853)",2051.0,272,15565,41705585
eCRSwNP_5_matrix.h5,0.3569,"(6128, 21838)",92023.0,"(2187, 21838)",10490.0,200,12519,41707772
neCRSwNP_3_matrix.h5,0.4855,"(10439, 22213)",92395.0,"(5068, 22213)",19299.0,200,12451,41712840
CRSsNP_1_matrix.h5,0.3064,"(6285, 21849)",99175.0,"(1926, 21849)",29823.0,201,13030,41714766
neCRSwNP_4_matrix.h5,0.4701,"(9118, 22090)",106171.0,"(4286, 22090)",30935.0,200,12664,41719052
Control_2_matrix.h5,0.5402,"(12376, 22249)",156412.0,"(6686, 22249)",8372.0,205,13036,41725738
CRSsNP_4_matrix.h5,0.5373,"(7005, 21611)",36653.0,"(3764, 21611)",10219.0,200,12354,41729502
CRSsNP_2_matrix.h5,0.4516,"(9150, 22033)",42097.0,"(4132, 22033)",17891.0,200,13148,41733634
Control_5_matrix.h5,0.5181,"(9343, 21892)",49603.0,"(4841, 21892)",25638.0,200,12111,41738475
eCRSwNP_1_matrix.h5,0.4691,"(3144, 20920)",76421.0,"(1475, 20920)",12606.0,200,10528,41739950
eCRSwNP_2_matrix.h5,0.3896,"(6710, 21666)",97081.0,"(2614, 21666)",33018.0,200,12317,41742564
Control_1_matrix.h5,0.5025,"(6981, 21962)",170366.0,"(3508, 21962)",11288.0,200,13290,41746072
eCRSwNP_4_matrix.h5,0.3657,"(5291, 21953)",71732.0,"(1935, 21953)",38721.0,200,13301,41748007
Control_3_matrix.h5,0.4698,"(15944, 22093)",30632.0,"(7491, 22093)",5176.0,297,12472,41755498
neCRSwNP_2_matrix.h5,0.4742,"(12790, 22165)",49758.0,"(6065, 22165)",19396.0,232,12724,41761563
CRSsNP_3_matrix.h5,0.5456,"(9511, 21946)",120766.0,"(5189, 21946)",21873.0,200,13225,41766752
Control_4_matrix.h5,0.416,"(10844, 21958)",28126.0,"(4511, 21958)",14222.0,208,12307,41771263
neCRSwNP_5_matrix.h5,0.4533,"(9083, 22061)",60849.0,"(4117, 22061)",27056.0,201,12524,41775380
eCRSwNP_3_matrix.h5,0.4582,"(5945, 21547)",102134.0,"(2724, 21547)",23200.0,200,12380,41778104
neCRSwNP_1_matrix.h5,0.3832,"(9033, 22026)",74820.0,"(3461, 22026)",29168.0,200,12992,41781565
CRSsNP_5_matrix.h5,0.5024,"(7769, 21776)",109005.0,"(3903, 21776)",13760.0,200,12445,41785468
eCRSwNP_6_matrix.h5,0.3929,"(9115, 22043)",86779.0,"(3581, 22043)",31390.0,200,12173,41789049
IMD117_matrix.h5,0.7017,"(12259, 16143)",19121.0,"(8602, 16143)",16079.0,203,5471,41797651
IMD030_matrix.h5,0.5611,"(9164, 16137)",22195.0,"(5142, 16137)",17982.0,207,5849,41802793
IMD109_matrix.h5,0.7147,"(11561, 15898)",17051.0,"(8263, 15898)",17051.0,203,5287,41811056
ctrl1_matrix.h5,0.9966,"(580, 12638)",799.0,"(578, 12638)",558.0,311,2452,41811634
b27pos4_matrix.h5,1.0,"(1349, 13735)",310.0,"(1349, 13735)",310.0,200,751,41812983
b27neg2_matrix.h5,0.9481,"(732, 13768)",1780.0,"(694, 13768)",1733.0,504,2940,41813677
b27pos2_matrix.h5,0.9818,"(3357, 15999)",1043.0,"(3296, 15999)",1043.0,352,3420,41816973
b27pos3_matrix.h5,1.0,"(500, 11517)",414.0,"(500, 11517)",414.0,310,1426,41817473
b27pos1_matrix.h5,0.998,"(3976, 15499)",874.0,"(3968, 15499)",874.0,273,2931,41821441
b27neg1_matrix.h5,0.9855,"(1724, 14955)",15615.0,"(1699, 14955)",4591.0,202,2919,41823140
non-DM2_matrix.h5,0.232,"(2853, 17674)",5912.0,"(662, 17674)",1472.0,791,6249,41823802
non-DM3_matrix.h5,0.5458,"(11179, 18305)",4657.0,"(6102, 18305)",1598.0,789,6682,41829904
Normal_1_matrix.h5,0.6152,"(8357, 17713)",2481.0,"(5141, 17713)",2481.0,793,5712,41835045
