,idx
ADGRA1,357
ADGRA1-AS1,358
ADGRA2,359
ADGRA3,360
ADGRB1,361
ADGRB2,362
ADGRB3,363
ADGRB3-DT,364
ADGRD1,365
ADGRD1-AS1,366
ADGRD2,367
ADGRE1,368
ADGRE2,369
ADGRE3,370
ADGRE5,371
ADGRF1,372
ADGRF3,373
ADGRF4,374
ADGRF5,375
ADGRF5-AS1,376
ADGRG1,377
ADGRG2,378
ADGRG3,379
ADGRG4,380
ADGRG5,381
ADGRG6,382
ADGRG7,383
ADGRL1,384
ADGRL1-AS1,385
ADGRL2,386
ADGRL3,387
ADGRL3-AS1,388
ADGRL4,389
ADGRV1,390
ADH1A,391
ADH1B,392
ADH1C,393
ADH4,394
ADH5,395
ADH6,396
ADH7,397
ADHFE1,398
ADI1,399
ADIG,400
ADIPOQ,401
ADIPOQ-AS1,402
ADIPOR1,403
ADIPOR2,404
ADIRF,405
ADIRF-AS1,406
ADISSP,407
ADK,408
ADM,409
ADM-DT,410
ADM2,411
ADM5,412
ADNP,413
ADNP-AS1,414
ADNP2,415
ADO,416
ADORA1,417
ADORA2A,418
ADORA2A-AS1,419
ADORA2B,420
ADORA3,421
ADPGK,422
ADPGK-AS1,423
ADPRH,424
ADPRHL1,425
ADPRM,426
ADPRS,427
ADRA1A,428
ADRA1B,429
ADRA1D,430
ADRA2A,431
ADRA2B,432
ADRA2C,433
ADRB1,434
ADRB2,435
ADRB3,436
ADRM1,437
ADSL,438
ADSS1,439
ADSS2,440
ADTRP,441
AEBP1,442
AEBP2,443
AEN,444
AFAP1,445
AFAP1-AS1,446
AFAP1L1,447
AFAP1L2,448
AFDN,449
AFDN-DT,450
AFF1,451
AFF1-AS1,452
AFF2,453
AFF2-IT1,454
AFF3,455
AFF4,456
AFF4-DT,457
AFG1L,458
AFG3L2,459
AFM,460
AFMID,461
AFP,462
AFTPH,463
AFTPH-DT,464
AGA,465
AGA-DT,466
AGAP1,467
AGAP1-IT1,468
AGAP2,469
AGAP2-AS1,470
AGAP3,471
AGAP4,472
AGAP5,473
AGAP6,474
AGAP9,475
AGAP11,476
AGBL1,477
AGBL1-AS1,478
AGBL2,479
AGBL3,480
AGBL4,481
AGBL4-AS1,482
AGBL4-IT1,483
AGBL5,484
AGBL5-AS1,485
AGBL5-IT1,486
AGER,487
AGFG1,488
AGFG2,489
AGGF1,490
AGK,491
AGK-DT,492
AGL,493
AGMAT,494
AGMO,495
AGO1,496
AGO2,497
AGO3,498
AGO4,499
AGPAT1,500
AGPAT2,501
AGPAT3,502
AGPAT4,503
AGPAT4-IT1,504
AGPAT5,505
AGPS,506
AGR2,507
AGR3,508
AGRN,509
AGRP,510
AGT,511
AGTPBP1,512
AGTR1,513
AGTR2,514
AGTRAP,515
AGXT,516
AGXT2,517
AHCTF1,518
AHCY,519
AHCYL1,520
AHCYL2,521
AHDC1,522
AHI1,523
AHI1-DT,524
AHNAK,525
AHNAK2,526
AHR,527
AHRR,528
AHSA1,529
AHSG,530
AHSP,531
